CASENO,COMPANY,FUNCTIONAL_GROUP,FUNCTION,FUNCTIONAL_AREA,FUNCTIONAL_LOCATION,FUNCTIONAL_SUB_LOCATION,LOCATION_SID,LOCATION_SHORT,COUNTRY_SHORT,SL_COUNTRY,SL_LOCATION_LVL_1,SL_LOCATION_LVL_2,SL_LOCATION_LVL_3,SL_LOCATION_LVL_4,CASE_OCCURENCE_DATE,TITLE,COMPANY_INVOLVED_TYPE,CASE_TYPE,CASE_SEVERITY,CASE_DESCRIPTION,STATUS,HAZARD,IMM_ACTION_TAKEN_RECOM,FULL_INVESTIGATION_DONE,CREATED_DATE,MODIFIED_DATE,APPROVED_WITHIN_DEADLINE,CASE_CLOSED_DATE,CASES_NO_OF_REGISTRATIONS,VALID_FROM,VALID_TO,POTENTIAL_SEV_LEVEL,RISK_AREA,LEARNINGS_ACTUAL_SEVERITY,LEARNINGS_POTENTIAL_RISK,title_length,description_length,combined_text_length,title_word_count,description_word_count,combined_word_count,binary_label,text_features
53434,Uniper Group (70006651) - Uniper,COO (70017898),Energy Assets (75000907),Flexible Energy GT (75000929),Grain UK (75001395),Grain Engineering Team (75001617),8138,PP GRA,UK,UK,Gas Turbine Fleet,Grain,,,22/02/2025,Quality Observation - Undocumented Blanking Spade found on Boiler Feed Pump piping to Feed Water Tank,Uniper employee,Operational loss,Observations,"During installation of BFP 1 on unit 7 a blanking spade was noticed on the piping whilst arc valve was being installed. This was not known to the installation team and was not on the MO to be removed. If the blanking spade was left in, the pump would have been running outside of normal operational conditions , potentially leading to damage to the pump and ARC valve. A blanking spade in this location is not part of normal design.",Processing,Loss of Control,Blanking Spade removed.,Not investigated,23/02/2025,1764720000000.0,-- Not selected --,,1.0,12/03/2025 14:05,13/03/2025 08:06,Very low,Low Risk,Not Applicable,Low,101,432,533,16,80,96,0,"Quality Observation - Undocumented Blanking Spade found on Boiler Feed Pump piping to Feed Water Tank. During installation of BFP 1 on unit 7 a blanking spade was noticed on the piping whilst arc valve was being installed. This was not known to the installation team and was not on the MO to be removed. If the blanking spade was left in, the pump would have been running outside of normal operational conditions , potentially leading to damage to the pump and ARC valve. A blanking spade in this location is not part of normal design."
51053,Uniper Group (70006651) - DOMINION GLOBAL INDUSTRY S.A.S,COO (70017898),Energy Assets (75000907),Flexible Energy GT (75000929),Grain UK (75001395),Grain Engineering Team (75001617),8138,PP GRA,UK,UK,Gas Turbine Fleet,Grain,,,28/11/2024,"PEM120 Unit 7 Stack loose bolts (Flanges / cable trays / ladders) 
Extended to 31st March",Contractor,Safety,Observations,"On a yearly PM inspection of Unit 7 stack, a variety of fasteners were found loose. On a closer look no fasteners seemed to be designed to withstand vibration (no nylon nuts / spring washers)
80% of cable tray securing bolts loose (57m level)
Cat ladder foot bolt found with no nut (approx 65m level)
6 x inspection / commissioning flanges blanks loose (57m level)

See attachments",Processing,Fall from height (Eg. Vertical drops from above or to below ground),"All accessible loose bolts tightened, all visible loose objects removed. Control room informed and exclusion zone erected.
Potential review of installed fasteners required.",Investigated,28/11/2024,1764720000000.0,No,,1.0,12/03/2025 14:05,14/03/2025 10:06,Very high,Medium Risk,Not Applicable,Severe,89,381,470,16,67,83,0,"PEM120 Unit 7 Stack loose bolts (Flanges / cable trays / ladders) 
Extended to 31st March. On a yearly PM inspection of Unit 7 stack, a variety of fasteners were found loose. On a closer look no fasteners seemed to be designed to withstand vibration (no nylon nuts / spring washers)
80% of cable tray securing bolts loose (57m level)
Cat ladder foot bolt found with no nut (approx 65m level)
6 x inspection / commissioning flanges blanks loose (57m level)

See attachments"
53481,Uniper Group (70006651) - -- Not selected --,COO (70017898),Energy Assets (75000907),Flexible Energy GT (75000929),Grain UK (75001395),Production Team (75001616),8138,PP GRA,UK,UK,Gas Turbine Fleet,Grain,,,28/02/2025,U7 HRSG Tube Leak,Uniper employee,Process Safety,Not Selected,HRSG Module 5 Tube Leak on IP/LP Econ,Processing,-- Not selected --,Leak repaired,Not investigated,26/02/2025,1764720000000.0,-- Not selected --,,1.0,00/01/1900 00:05,00/01/1900 00:06,Not selected,Not selected,Not Applicable,Low,17,37,54,4,8,12,1,U7 HRSG Tube Leak. HRSG Module 5 Tube Leak on IP/LP Econ
15813,Uniper Group (70006651) - Other @ Operational Assets UK,COO (70017898),Asset Operations (70017927),Steam and Biomass (70017928),Ratcliffe UK (70019375),Ratcliffe UK A (Engineering & Maint) (70019376),8108,PP RAT,UK,UK,Steam,Ratcliffe,,,26/01/2021,Slip on FGD Unit 3A Recycle pump plinth,Contractor,Safety,LTI,"The lubrication technician was accessing the recycle pump and as he stepped on to the plinth, he slipped, his arm caught the top hand rail which stopped him falling.",Closed,Slip / Trip / Fall (at the same floor level and on stairs),"Individual was seen by First Aiders, and sent to hospital as a precautionary measure. The area was quarantined and investigation commenced.",Investigated,27/01/2021,1764633600000.0,No,30/11/2022,,00/01/1900 00:22,00/01/1900 00:00,Medium,Medium Risk,Medium,Medium,39,165,204,8,29,37,0,"Slip on FGD Unit 3A Recycle pump plinth. The lubrication technician was accessing the recycle pump and as he stepped on to the plinth, he slipped, his arm caught the top hand rail which stopped him falling."
52546,Uniper Group (70006651) - Uniper,CFO (70017773),Operations & IT (70017808),Information Technology (70017820),CIO Office & IT Strategy (70017821),Connectivity Services (75000255),8108,PP RAT,UK,UK,Steam,Ratcliffe,,,30/01/2025,Waste network switches collected from site without documentation,Uniper employee,Environment,Near Hits,Waste network switches were collected from site by Sims Metals without the correct doucmentation.,Processing,-- Not selected --,Requests sent to sims to provide completed documentation.,Not investigated,04/02/2025,1764633600000.0,-- Not selected --,,1.0,12/05/2025 12:06,10/06/2025 16:05,Not selected,Not selected,Not Applicable,Low,64,97,161,8,14,22,0,Waste network switches collected from site without documentation. Waste network switches were collected from site by Sims Metals without the correct doucmentation.
56941,Uniper Group (70006651) - Uniper,COO (70017898),Energy Assets (75000907),Flexible Energy S&B (75000928),Ratcliffe (75001389),Executive Support Team (75001568),8108,PP RAT,UK,UK,Steam,Ratcliffe,,,10/06/2025,Canteen Cooking Oil container left on pathway,Uniper employee,Safety,Observations,Canteen Cooking Oil container left on pathway,Closed,Slip / Trip / Fall (at the same floor level and on stairs),"Cooking Oil Container removed straight away and put in the store, sent a note to Sadie to advise of the issue with containers stacking up and falling into the walk way.",Investigated,11/06/2025,1762387200000.0,-- Not selected --,11/06/2025,1.0,11/06/2025 10:05,17/06/2025 08:06,Not selected,Not selected,Not Applicable,Low,45,45,90,7,7,14,0,Canteen Cooking Oil container left on pathway. Canteen Cooking Oil container left on pathway
49401,Uniper Group (70006651) - Uniper,COO (70017898),Energy Assets (75000907),Flexible Energy GT (75000929),Grain UK (75001395),Grain Engineering Team (75001617),8138,PP GRA,UK,UK,Gas Turbine Fleet,Grain,,,08/10/2024,Excavation above Uniper Gas Pipeline on GLNG Land,Uniper employee,Asset and Reputation damage/loss,Near Hits,"At 13:01, Penspen reported to Uniper Strategy Engineer by phone, that an excavation was found above the gas pipeline. No work on-going at time of find.
Approximate location is 51.448113, 0.679421 / What3Words mine.efficient.patting
As of 14:43, work permit has been suspended by GLNG after site attendance by Uniper STL",Closed,Loss of containment,"Penspen informed Uniper Strategy Engineer.
Control room informed, discussions with GLNG started.
Strategy engineer confirmed LineSearch enquiries - none sent to Uniper to review.
Drawings reviewed to check pipe route - confirmed excavation is close to pipeline.",Investigated,08/10/2024,1762387200000.0,No,11/06/2025,1.0,12/06/2025 04:05,12/06/2025 12:05,Low,Low Risk,Not Applicable,Low,49,319,368,8,50,58,0,"Excavation above Uniper Gas Pipeline on GLNG Land. At 13:01, Penspen reported to Uniper Strategy Engineer by phone, that an excavation was found above the gas pipeline. No work on-going at time of find.
Approximate location is 51.448113, 0.679421 / What3Words mine.efficient.patting
As of 14:43, work permit has been suspended by GLNG after site attendance by Uniper STL"
54091,Uniper Group (70006651) - Uniper,COO (70017898),Energy Assets (75000907),Flexible Energy GT (75000929),CDCPK (75001387),Business Support CDCPK (75001619),8134,PP COT,UK,UK,Gas Turbine Fleet,CDCPK,CDC,,17/03/2025,False Fire alarm activated,Uniper employee,Operational loss,Observations,"Fire alarm received in Control Room. Upon investigation it was a false alarm, caused by radio interference that had set one of the Infrared detectors off that monitors the GT gas skid in the UMC. Further investigation required as to why this inference occurred from outside the barriered area, if the unit was on load it would have tripped off.",Processing,Notification record (Eg. External regulator),,Not investigated,21/03/2025,1762387200000.0,-- Not selected --,,1.0,00/01/1900 00:06,00/01/1900 00:00,Not selected,Not selected,Not Applicable,Low,26,344,370,4,60,64,0,"False Fire alarm activated. Fire alarm received in Control Room. Upon investigation it was a false alarm, caused by radio interference that had set one of the Infrared detectors off that monitors the GT gas skid in the UMC. Further investigation required as to why this inference occurred from outside the barriered area, if the unit was on load it would have tripped off."
54456,Uniper Group (70006651) - Uniper,COO (70017898),Energy Assets (75000907),Flexible Energy GT (75000929),CDCPK (75001387),Business Support CDCPK (75001619),4083,CDCPK,UK,UK,Gas Turbine Fleet,CDCPK,,,28/03/2025,GT full speed no load trip,Uniper employee,Asset and Reputation damage/loss,Observations,"The Gas Turbine was only running in Open Cycle mode at full speed no load to facilitate gas pipelines in setting up Stream B gas valves in the PRS.
GT outlet thermocouple 10MBA26CT108B and C faulted during the run . B channel came first then 3 minutes later C channel faulted resulting in a GT trip.  
GT outlet thermocouple 10MBA26CT108B and C simulated into adjacent thermocouples. Recorded in SIM log.",Processing,Electricity,"GT outlet thermocouple 10MBA26CT108B and C simulated into adjacent thermocouples. Recorded in SIM log.
Visual examination of GT thermocouples external to the GT carried out.",Investigated,28/03/2025,1762387200000.0,-- Not selected --,,1.0,12/06/2025 04:05,12/06/2025 12:05,Very low,Medium Risk,Not Applicable,Low,26,404,430,6,70,76,0,"GT full speed no load trip. The Gas Turbine was only running in Open Cycle mode at full speed no load to facilitate gas pipelines in setting up Stream B gas valves in the PRS.
GT outlet thermocouple 10MBA26CT108B and C faulted during the run . B channel came first then 3 minutes later C channel faulted resulting in a GT trip.  
GT outlet thermocouple 10MBA26CT108B and C simulated into adjacent thermocouples. Recorded in SIM log."
56224,Uniper Group (70006651) - Uniper,COO (70017898),Energy Assets (75000907),Flexible Energy GT (75000929),Grain UK (75001395),Grain Engineering Team (75001617),8138,PP GRA,UK,UK,Gas Turbine Fleet,Grain,,,16/05/2025,PEM120 - 400kV CT failure risk,Uniper employee,Operational loss,Observations,"NEDeRS Dangerous Incident Notification at Drax National Grid Substation
DIN 2025/0010/00

23-04-25 17:14 – The Yellow Phase CT catastrophically failed resulting in a localised fireball and the “top cap” being ejected. (Note: this
failed as designed).

See attached report.
Grain own 3 of the same types of CT on the Sync Comp circuit within the National Grid Substation, the 45m hazard zone encroaches onto the Grain site boundary.

Recommendations:
A Risk Management Hazard zone is to be set up around all Arteche CA420 CT's
Thermovison Scans are to be performed and oil levels checked immediately on all similar assets.
Oil samples to be taken from all Arteche CA420 CT's.",Approved,Explosion,"PEM120 Exclusion Zone put in place to prevent access to RMHZ.
Liaised with NGET operations to implement a RMHZ within the 400kV substation.",Investigated,20/05/2025,1762387200000.0,-- Not selected --,,1.0,12/06/2025 14:06,16/06/2025 08:06,High,Low Risk,Not Applicable,Medium,30,674,704,6,109,115,0,"PEM120 - 400kV CT failure risk. NEDeRS Dangerous Incident Notification at Drax National Grid Substation
DIN 2025/0010/00

23-04-25 17:14 – The Yellow Phase CT catastrophically failed resulting in a localised fireball and the “top cap” being ejected. (Note: this
failed as designed).

See attached report.
Grain own 3 of the same types of CT on the Sync Comp circuit within the National Grid Substation, the 45m hazard zone encroaches onto the Grain site boundary.

Recommendations:
A Risk Management Hazard zone is to be set up around all Arteche CA420 CT's
Thermovison Scans are to be performed and oil levels checked immediately on all similar assets.
Oil samples to be taken from all Arteche CA420 CT's."
55727,Uniper Group (70006651) - Ainscough,COO (70017898),Energy Assets (75000907),Flexible Energy GT (75000929),Grain UK (75001395),Grain Engineering Team (75001617),8138,PP GRA,UK,UK,Gas Turbine Fleet,Grain,,,06/05/2025,contractor found using non ATEX equipment in a DSEAR zone.,Contractor,Safety,Observations,contractor undertaking inspection underneath the exhaust with a non ATEX measuring device. This was spotted by a UNIPER engineer and contractor asked to leave the area.  Demarcation chain found to be not attached.,Approved,Explosion,Contractors removed from the area and demarcation chain was put back on U7. Immediate action raised for attention at outage CDM meeting.,Investigated,06/05/2025,1762387200000.0,Yes,,1.0,12/06/2025 14:06,31/12/2100 00:00,Medium,Low Risk,Not Applicable,Medium,58,213,271,10,33,43,0,contractor found using non ATEX equipment in a DSEAR zone.. contractor undertaking inspection underneath the exhaust with a non ATEX measuring device. This was spotted by a UNIPER engineer and contractor asked to leave the area.  Demarcation chain found to be not attached.
54795,Uniper Group (70006651) - Uniper,COO (70017898),Energy Assets (75000907),Flexible Energy GT (75000929),Enfield UK (75001394),Engineering (75002617),4085,Enfield,UK,UK,Gas Turbine Fleet,Enfield,,,06/04/2025,Duplication of KKS WTP,Uniper employee,Process Safety,Observations,"19GCP20AA301 was under a holding isolation (2025/00044).
Defect 21545571 refers.
MO 1181006347/0010 Set to SRDR for works.
Night Shift SAP to safety assess works , unable to locate holding isolation on 19GCP20AA301.
On handover this was discussed, both SAPs went to WTP, found holding isolation in caustic Bund, same KKS for Regen pump #2 system.
On further investigation, 19GCP20AA302 has also been duplicated.
PID Drawings also confirms duplications.
MO line has been SAP Rejected, awaiting investigation.",Approved,Notification record (Eg. External regulator),1181006347/0010 has been SAP rejected.,Investigated,06/04/2025,1762387200000.0,-- Not selected --,01/10/2021,1.0,11/06/2025 14:05,12/06/2025 12:05,Low,Low Risk,Not Applicable,Low,22,507,529,4,76,80,1,"Duplication of KKS WTP. 19GCP20AA301 was under a holding isolation (2025/00044).
Defect 21545571 refers.
MO 1181006347/0010 Set to SRDR for works.
Night Shift SAP to safety assess works , unable to locate holding isolation on 19GCP20AA301.
On handover this was discussed, both SAPs went to WTP, found holding isolation in caustic Bund, same KKS for Regen pump #2 system.
On further investigation, 19GCP20AA302 has also been duplicated.
PID Drawings also confirms duplications.
MO line has been SAP Rejected, awaiting investigation."
47488,Uniper Group (70006651) - Uniper,COO (70017898),Energy Assets (75000907),Flexible Energy GT (75000929),Connahs Quay UK (75001386),Production (75001609),8133,PP CON,UK,UK,Gas Turbine Fleet,Connah's Quay,,,24/07/2024,U2 90T crane hook striking handrail,Uniper employee,Asset and Reputation damage/loss,Near Hits,U2 90T crane hook struck handrail whilst traversing crane,Closed,Striking into an object (Non-vehicle impacts with fixed objects),"Job stopped, working party informed CCR and CQ Golden hour process completed. All details of incident captured in CQ Golden hour process.
Physical barriers in place and damaged handrail secured so as not to cause potential falling from height hazard",Investigated,25/07/2024,1762214400000.0,No,11/04/2025,1.0,10/06/2025 06:05,12/06/2025 12:05,Low,Low Risk,Not Applicable,Low,35,57,92,6,9,15,0,U2 90T crane hook striking handrail. U2 90T crane hook struck handrail whilst traversing crane
52563,Uniper Group (70006651) - Uniper,COO (70017898),Energy Assets (75000907),Flexible Energy GT (75000929),Connahs Quay UK (75001386),Production (75001609),8133,PP CON,UK,UK,Gas Turbine Fleet,Connah's Quay,,,03/02/2025,Oil leaking from Unit 1 HP Upper Governor oil supply hose,Uniper employee,Process Safety,Near Hits,"Unit was on load, oil mist and abnormal odour  was observed above steam turbine, closer inspection identified leak coming from oil supply hose.",Closed,Loss of containment,"Control Person informed, oil absorbent pads placed directly under leak.",Investigated,04/02/2025,1762214400000.0,No,11/04/2025,1.0,29/05/2025 14:05,12/06/2025 12:05,Very low,Low Risk,Not Applicable,Low,57,143,200,11,23,34,1,"Oil leaking from Unit 1 HP Upper Governor oil supply hose. Unit was on load, oil mist and abnormal odour  was observed above steam turbine, closer inspection identified leak coming from oil supply hose."
