Original_Hazard,Classified_Category,Confidence,Hazard_Length
Exposure to an ionising radioactive source,Other,0.85,42
Release of acids that change the pH balance of water,Toxic Release,0.85,52
Item in wrong position,Other,0.85,22
Obligation not identifed,Other,0.85,24
Slip or Trip on liquids/wet floor,Other,0.85,33
Slip or Trip over fixed installations,Other,0.85,37
Impact with another Motor Vehicle,Other,0.85,33
Chemical (Affecting water courses and land),Toxic Release,0.85,43
Drawing in,Other,0.85,10
Non compliance of monitoring,Process Deviation,0.85,28
Repetitive movement,Other,0.85,19
Noise,Other,0.85,5
Instrumentation Fault,Control System Issue,0.85,21
Material falling from above,Other,0.85,27
Presence of flammable material,Fire/Explosion,0.85,30
Contamination of land,Toxic Release,0.85,21
Exposure to an irritant,Toxic Release,0.85,23
Exposure to microwaves,Other,0.85,22
Moving Vehicle,Other,0.85,14
"Non-ionising radiation (Inc. exposure to lasers, infrared, UV and Sun's rays)",Other,0.85,77
 Control measure (Germany only) ,Toxic Release,0.85,34
Release of toxins into the atmosphere,Toxic Release,0.85,37
Release of Nitrous Oxides (NOX) into the atmosphere,Toxic Release,0.85,51
Slippery surfaces of load,Other,0.85,25
Personnel security,Other,0.85,18
Hazardous substance biological (Eg. naturally occurring respiratory and skin sensitisers / irritants / poisons),Toxic Release,0.85,111
Drowning,Other,0.85,8
"Viscous material (Eg. Liquids, quicksand, mud)",Leak/Spill,0.85,46
Fire/Heat,Fire/Explosion,0.85,9
Inadequate air ratio,Process Deviation,0.85,20
"Gases / Fumes / Vapours (Release of SOx, NOx, SF6, NH3, CH4, CO and CO2 into the atmosphere)",Toxic Release,0.85,92
Impact with a pedestrian,Other,0.85,24
Build up of an explosive atmosphere,Fire/Explosion,0.85,35
Pollution leading to technical breach of Environmental permit,Toxic Release,0.85,61
Insufficient Lighting,Other,0.85,21
Objects Restricting Line of Sight,Other,0.85,33
Other suspicious incident,Other,0.85,25
Moving Machinery,Other,0.85,16
Exposure to skin sensitisers/irritants/poisons,Toxic Release,0.85,46
Fire protection system failure,Fire/Explosion,0.85,30
Insect bite or sting,Other,0.85,20
Trapping of persons,Other,0.85,19
Lack of emergency routes,Emergency Shutdown,0.85,24
Exposure to Loud Tools and Equipment,Other,0.85,36
Theft,Other,0.85,5
Toppling material,Leak/Spill,0.85,17
Exposure to toxic substances,Toxic Release,0.85,28
Actuator failure,Other,0.85,16
"Temperature Extreme (Inc. Hot or cold surfaces, gases and environments)",Temperature Deviation,0.85,71
Alarms system failure,Control System Issue,0.85,21
Uncontrolled moving object,Other,0.85,26
Weather conditions,Other,0.85,18
Fall on stairs,Other,0.85,14
Workload inappropriate,Other,0.85,22
Loss of Containment,Leak/Spill,0.85,19
Fire/Explosion,Fire/Explosion,0.85,14
Static Shock,Other,0.85,12
Non compliance of obligations,Other,0.85,29
No work-related hazard,Toxic Release,0.85,22
Oil,Other,0.85,3
Presence of a heat source,Other,0.85,25
Heat Exchanger failure,Other,0.85,22
External regulator,Control System Issue,0.85,18
Site Infrastructure theft,Other,0.85,25
Lack of adequate fire fighting equipment,Fire/Explosion,0.85,40
Tools - incorrect selection of the tool,Other,0.85,39
Exposure to respiratory irritants,Toxic Release,0.85,33
Release leading to technical breach of Environmental permit,Toxic Release,0.85,59
Flashback,Fire/Explosion,0.85,9
Electric Shock,Other,0.85,14
Incorrect segregation of waste leading to inability to recycle,Other,0.85,62
Gases/Fumes/Vapours,Toxic Release,0.85,19
Shifting of load,Process Deviation,0.85,16
Process Safety Specific,Toxic Release,0.85,23
Slip/Trip/Fall,Other,0.85,14
Notification record (Eg. External regulator),Other,0.85,44
Exposure to parasites,Other,0.85,21
Release of acids that change the pH balance of land,Toxic Release,0.85,51
Lack of load grip,Other,0.85,17
Exposure to a virus,Toxic Release,0.85,19
Lighning Strike,Fire/Explosion,0.85,15
Projectile material,Other,0.85,19
Oil (Inc. contamination of land or water),Toxic Release,0.85,41
Hand Tools,Other,0.85,10
Inadequate air ratio (in a confined space),Other,0.85,42
Radiation (loss or release leading to technical breaches or affecting human health or ecosystems),Toxic Release,0.85,97
Sharp edge: Hand tools,Other,0.85,22
Contact with hot liquids or gases,Temperature Deviation,0.85,33
No work-related Hazard,Toxic Release,0.85,22
Incorrect classification of waste,Other,0.85,33
Tools - wrong handling,Other,0.85,22
Exposure to a cold environment,Temperature Deviation,0.85,30
Protection Failure,Other,0.85,18
Vertical fall from ground to below ground,Other,0.85,41
Irritation from Dust/Particles,Other,0.85,30
Uncontrolled release of energy,Fire/Explosion,0.85,30
Dust,Other,0.85,4
Incorrect storage of waste,Other,0.85,26
"Fire / Explosion (affecting local inhabitants ,ecosystems or surrounding environment)",Fire/Explosion,0.85,85
Unsuitable physical attributes/capabilities of personnel,Other,0.85,56
Contact with cold liquids or gases,Temperature Deviation,0.85,34
Heat Source,Other,0.85,11
Waste,Other,0.85,5
Poor Housekeeping,Other,0.85,17
"Legal, monitoring and reporting (Non-compliance of obligations)",Other,0.85,63
Noise & Vibration,Other,0.85,17
Contamination of water,Toxic Release,0.85,22
Incorrect Lifting Technique,Other,0.85,27
Loss of CCTV,Other,0.85,12
Incorrect treatment of waste,Other,0.85,28
Excessive noise at unsociable hours,Other,0.85,35
Suspicious activity / event,Other,0.85,27
Inhalable Dust/Particles,Toxic Release,0.85,24
Slip or Trip over loose objects,Other,0.85,31
Manual Handling,Other,0.85,15
Inadequate risk assessment,Toxic Release,0.85,26
Impact on ecosystem,Toxic Release,0.85,19
Release of Ammonia (NH3) into the atmosphere,Toxic Release,0.85,44
Building,Other,0.85,8
Human Impact with a fixed object,Other,0.85,32
Uncontrolled release of water,Leak/Spill,0.85,29
Crushing,Other,0.85,8
Unintended disclosure of confidential / personal information,Other,0.85,60
Fire / Heat,Fire/Explosion,0.85,11
Insufficient building compartmentation,Other,0.85,38
Cutting Blades,Other,0.85,14
Unauthorised entry or trespass,Other,0.85,30
Striking into an object (Non-vehicle impacts with fixed objects),Other,0.85,64
Complaint received from a third party,Other,0.85,37
Hazardous Organism Biological (inc viral),Toxic Release,0.85,41
Excess volume of water leading to flooding,Other,0.85,42
Non compliance of reporting,Other,0.85,27
Lack of anti virus software,Other,0.85,27
Communication,Other,0.85,13
"Environmental light (Inc. to complaints, technical breaches or affecting ecosystems)",Other,0.85,84
Water,Leak/Spill,0.85,5
Exposure to Loud Operating Plant,Other,0.85,32
Delivered to or Stored in incorrect storage vessels ,Other,0.85,52
Other Protest,Other,0.85,13
Sharp Edge,Other,0.85,10
Exposure to Sun's rays,Other,0.85,22
Toppling / collapsing structure,Other,0.85,31
Electricity,Other,0.85,11
Incorrect posture or insufficient work environment,Other,0.85,50
Missing item,Other,0.85,12
"Non-carcinogenic or substance, chemical, gas or material causing short term affects",Toxic Release,0.85,83
Occupational Safety and Process Safety,Toxic Release,0.85,38
Internet or e-mail threat,Other,0.85,25
Impact with an object,Other,0.85,21
Radiation,Toxic Release,0.85,9
Loss of physical protection,Other,0.85,27
Property theft,Other,0.85,14
Moving Object,Other,0.85,13
"Waste (Inc. complaints, technical breaches, issues with classification, segregation, disposal, storage or treatment)",Other,0.85,116
Unapproved data storage devices,Other,0.85,31
