CASE_DESCRIPTION,CASE_TYPE,TITLE,LLM_Classification
"Beim Co-Working im Capricorn ist am Arbeitsplatz versehentlich ein Fluessigkeit ueber ein privates elektronisches Geraeteines externen Mitarbeiter gelaufen und hat dieses dadurch Beschaedigt und das Geraet ist nicht mehr Betriebsfaehig. 

Es gab keinen Personenschaden, sondern nur ein Sachschaden. Leider gibt es keine passende Kategorie in Synergilife. Falls die Meldung in einem anderen Prozess gestartet werden soll bitte nehmen Sie Kontakt auf.",Process Safety,Privater Laptop durch Fluessigkeit beschaedigt,Non-Process Safety
OVT CHP: Vattenlackage i trapphuset vid kontrollrummet.,Process Safety,OVT CHP: Vattenlackage i trapphuset vid kontrollrummet.,Non-Process Safety
"Ein Mitarbeiter der Firma Degener hat bei Reinigungsarbeiten mit einem Kehrblech einen unter dem Band liegende Reinigungsschieber angestossen, sodass dieser in Kontakt mit einer Umlenkrolle der Spannvorrichtung kam und sich um diese herumgewickelt hat. Da der MA der Firma Degener sofort die Reissleine gezogen hat konnte ein groesserer Schaden verhindert werden. Es kam zu keinem Personenschaden.",Process Safety,Reinigungsschieber um Umlenkrolle gewickelt,Non-Process Safety
No.1 Bulk Sodium Hypochlorite Tank lost approximately 4 Tonnes of hypochlorite over a 12 hour period. The tank dropped from 19 tonnes to 15 tonnes. Upon initial investigation the hypochlorite has leaked into the tank containment bund. The hypochlorite has since been recovered from the bund and further investigations continue.,Process Safety,PSNH - Loss of Hypo from No.1 Bulk Sodium Hypochlorite Tank,Non-Process Safety
During the routine changeover of BOP Transformers and Boards we lost the EDL Communications and Responsibility connections and also looks like we lost the Pi server. UTP Failure standing on New GPMS/EDL Modem,Process Safety,Loss of EDL & Pi Servers/Connection,Non-Process Safety
"Trant dumper driver collided with CDC exit reader post, damaging the post and base.  
Incident not reported at time of event, discovered later by another working party.",Process Safety,Damage to CDC Vehicle Exit Gate Reader,Non-Process Safety
"Whilst maintaining an Amine dosing pump,  12SIRPP230, The suction pipework of an adjoining pump was  disturbed and a plastic fitting broke which caused a leakage of Amine.",Process Safety,Broken Plastic fitting on dosing pump,Non-Process Safety
Ich bin letzte Woche beim Einparken mit meinem privaten Auto in der Uniper Tiefgarage im Capricorn auf P1 leicht an einen Pfeiler gestossen. Hierbei wurde mein Auto hinten rechts unten an der Stossstange beschaedigt (Sachschaden am Auto). An dem Pfeiler war keine Beschaedigung sichtbar. Es gab auch keinen Personenschaden. Ist solch ein Schaden auf dem Weg zur Arbeit ueber den Arbeitgeber versichert?,Process Safety,Autounfall auf dem Weg zur Arbeit,Non-Process Safety
Hot work above the TX caused 2 small fires under the Bucholz relay and adjacent to the HV terminal box. Damage to the relay and cabling required the transformer to be taken out of service and isolated.,Process Safety,Unit  2 'Y' 11Kv Transformer fire,Non-Process Safety
"seit Freitag (ca. 12:00 Uhr) besteht fuer mindestens 6 Rechner keine Netzanbindung mehr (seit 5 Tagen).
Dadurch ist z.B.keine Bearbeitung von Rechnungen in SAP moeglich, kein Zugriff aus PBS, auf PGIM usw. kein zugriff auf BOHB usw.",Process Safety,IT-Probleme: keine Netzanbindung von mindestens 6 Rechnern,Non-Process Safety
"zur Zeit Komplettausfall von SAP
da wir in der Revivion sind, sind zur Zeit keine SAP-basierten Freischaltungen, Normalisierungen moeglich
Die Partnerfirmen haben hohe Wartezeiten, dadurch Claims zu erwarten",Process Safety,Ausfall SAP (komplett),Non-Process Safety
"Ein Fahrstuhl mit 11 (10 externen Besuchern und 1 Uniper Begleitung) Personen bleibt am 06.09.2019 um 10:50 Uhr im Bereich des Erdgeschosses im Float-Gebaeude Trakt A2 stecken. Ein OEffnen der Tueren ist nicht moeglich, weder von innen noch von aussen. Um 11:45 Uhr werden die Personen unverletzt befreit.",Process Safety,"Ein Fahrstuhl mit Personen blieb stecken, die Tueren liessen sich nicht oeffnen.",Non-Process Safety
"7 UST Mitarbeiter bleiben gegen 11:15 Uhr bis 11:30 Uhr im Personenaufzug stecken.
Empfangsebene – dritter Aufzug (v.l.).
Da der Aufzug nur leicht (~ 10cm) unter der Ebene stand, wurde versucht, 
die Tuer manuell zu oeffnen, ohne Erfolg.
Daraufhin wurde der Notrufbutton gedrueckt. Ausser einer Tonbandansage ruhig zu bleiben, kam keine weitere Info. Es wurde weder eine Verbindung zum Empfang hergestellt noch eine Verbindung zum Aufzugsbetreiber. 
Somit wussten die eingeschlossenen nicht, wie lange Sie noch in dem Fahrstuhl verweilen muessen.
Kollegen, die noch vor den Aufzuegen standen, gaben parallel am Empfang Bescheid.
Ein Mitarbeiter des Wachpersonals teilte mit, dass es intern keine Moeglichkeit gaebe den Aufzug zu oeffnen. 

Nach einer Viertelstunde konnten sich die eingeschlossenen (gottseidank) selbstaendig befreien.
Vermutlich hatte sich durch Bewegung innerhalb des Aufzugs die Sperre geloest.",Process Safety,MA bleiben im Aufzug (Float/Empfang) stecken,Non-Process Safety
"Am Donnerstagmorgen, den 25.07.2019 um 02:00 Uhr fiel die USV des Dispatchings in Duesseldorf im Float Gebaeude A1 im 3. Stockwerk aus, d.h. kein Netzwerk und kein Spannungsversorgung fuer die Computer.
Waehrend des USV Ausfalls und damit Totalausfall des Dispatchingbetriebs (die das Netzwerk, die gesamte Spannungsversorgung der Computer und die Bildschirme des Dispatchings sicherstellt (laeuft immer ueber die USV)) auch keine Zugangstuer in den Bereich Float A1 3 und A1 2 mittel Zugangskarte geoeffnet werden.
Es waren bis dato keine Schliesszylinder verbaut, sodass auch der Sicherheitsdienst diese Tueren nicht von aussen oeffnen konnte.
Eine Personenrettung bei einem zeitgleichem Personenschaden haette sich sehr stark verzoegert!
Nur der diensthabende Dispatching Mitarbeiter konnte von aussen auf Handy angerufen werden und konnte von innen diese Aussentuer A1 3 oeffnen damit muss er aber seinen Dispatching Arbeitsplatz kurzzeitig verlassen.
Sofort am Freitag morgen, den 26.07. wurden entsprechende Schliesszylinder in der 2. und 3. Etage im Float A1 nachgeruestet und funktionieren.
Die UST Dispatching Bereitschaft hat nach dem USV Ausfall im Float und damit Totalausfall des Dispatchings in Duesseldorf sofort nachts ueber den Mitarbeiter der Bereitschaft und Laptop den Betrieb weitergefuehrt.
Das funktionierte problemlos.
Der Diensthabende MA vom Float in Duesseldorf ist dann umgehend nach Gelsenkirchen Buer ins AvH gefahren um damit das Backup Dispatching dort in Betrieb zu nehmen und fortzufuehren.
Bis auf weiteres wird nur dort in Gelsenkirchen Buer im AvH das Dispatching fuer die UST weitergefuehrt.",Process Safety,Vorfall UST Dispatching Ausfall der USV,Non-Process Safety
"Tijdens een geplande migratie van CE routers op de locatie RoCa en WSG is het gehele MPLS verbinding meerdere malen weggevallen terwijl de migratie gepland was zonder minimale downtime (hooguit 2 seconden tijdens ompluggen van de glasvezel). Getroffen netwerken VRF1, VRF2, VRF3 en VRF4 (Security IT, PCC, Proces OT en Office IT).",Process Safety,Netwerk outage tijdens geplande IT werkzaamheden,Non-Process Safety
"Beim Kesselinertisieren ist der Kunststoffschlauch an der 
Verlaengerungsstelle auseinandergegangen und hat einem Mitarbeiter mit 
dem nun losen Schlauchende im Bereich Ruecken/Schulter rechts geschlagen.",Process Safety,Unfall mit dem Stickstoffprovisorium,Non-Process Safety
"In de sharepoint omgeving https://gw.sharepoint.uniper.energy/committees/facilities/lb wordt er gebruik gemaakt van inkomende (per mail) CSV bestanden welke uitgepakt worden en worden verwerkt in een totaal overview. Het systeem geeft aan dat de bestanden wel zijn ontvangen en uitgepakt zijn maar helaas is de data niet verschenen in de juiste tabellen.

Sinds het verhuizen van de sharepoint omgeving van on-premisses naar de cloud (16.11.2021) zijn er blijkbaar meerdere issues. Daarvan is ook al een melding gemaakt maar toen was nog niet bekend dat er dataverlies voorkomt.",Process Safety,Dataverlies Sharepoint,Non-Process Safety
de roltrap die op het dak van de koeltoren stond lag vanochtend beneden,Process Safety,Roltrap Koeltoren,Non-Process Safety
"A konténrek belső ablakpárkánya alatt végigfutó kábelcsatornák megolvadtak, az alattuk elhelyezett fűtőtestek által kibocsájtott magas hőmérséklet miatt. Cseréjük szükséges. Továbbá a fűtőtestek, fűtőtestek körüli bútorzatok elhelyezésének felülvizsgálata is szükséges. / szinte kivétel nélkül, az összes fűtőtest felett hasonló a látvány, mint a csatolt képen, nem egyedi eset /",Process Safety,"H-9071 Gönyű, Kossuth L. utca2/A ""Siemens konténerek""",Non-Process Safety
The air pressure gauge on IP  Pressure Control Valve 81-LBA-30-AA004-KA01 has inadvertently been snapped off  releasing instrument air until the air isolation valve was shut away. Gauge snapped off after being struck by a lagging box that was being carried by a lagger in the basement of U8's HRSG.,Process Safety,Air Pressure Gauge Inadvertently Snapped Off,Non-Process Safety
"During a unit walkround  a blank was discovered to have wound itself off of the bottom of a 2"" drain on the base of the GT exhaust, exhaust gas leaking from this drain line would be in excess of 600C.",Process Safety,Unit 8 GT Exhaust Drain leak,Non-Process Safety
An incident occurred during the transformer testing which led to a huge MVAR swing of +160 to -78. This caused the grid voltage to drop from 136KV to 122KV. National Grid have now issued us with a Significant Incident Report to investigate and provide information on what happened and what went wrong.,Process Safety,"Enfield issued with an SIR from National Grid. 
UTG & ABB concluding technical investigation EXTENDED 28/02/2022",Non-Process Safety
Dumper truck reversing struck lamp post due to sun in drivers eyes.,Process Safety,Collision and damage to lamp post.,Non-Process Safety
"Following the effects of Storm Eunice and the high winds experienced across site on 18th February, U61 HRSG Chimney underwent a thorough and extensive inspection/integrity assessment resulting in the following findings; loose foundation plate holding down bolts, defects/wear across a number of tuned mass damper components and areas of deformation/bulging just below the 27m level platform.",Process Safety,"U61 stack damage (Storm Eunice).
Superior case 23797 U71 stack collapse",Non-Process Safety
"Unit 6 was at full load when:
IP steam SH OL press indication has gone BDQ opening superheater drain valves while on load - Additional signals have since gone into channel error inc:
T IP steam out 61-lab-30-ct002
T transition duct 61-HBK-70-CT006
F IP steam out 61-LBA-30-FF901
F IP SH stm out 61-LBA-30-CF002
T RHTR2 Drain 61-HAJ-30-CT009.
The issue was found to be the penetration seal on the boiler leaking exhaust Gas, when the temperature was checked the temperature was found to be over 600C on the surface of the lagging.",Process Safety,U6 HRSG penetration seal leak.,Non-Process Safety
The hire car I was driving on a dual carriage way was hit by a lorry trying to change lane and not seeing me.,Process Safety,"Road Traffic Accident, A282, Dartford, Kent.",Non-Process Safety
"Bij het rijden van Afgraver A is er schade ontstaan aan het rijwerk van deze machine.
Ondanks dat er geadviseerd werd door de veldoperator om niet te gaan rijden met deze machine, heeft service toch besloten om dit wel te doen...(zie direct bon voor de brug recht te trekken.)",Process Safety,Schade Afgraver A,Non-Process Safety
"Last week Thursday and Friday I worked at a hotel in Berlin. During weekend I also stayed at hotel with my family and I did not use the computer. I remember that my computer was all time at my red backpack. But when we reached home, we could not find the computer at my back pack or at any luggage.  My second simcard of phone was also attached to the computer.",Process Safety,2021-09-24 Physical Security incident - Germany - Non Uniper site / Offsite - Other location -  Process safety,Non-Process Safety
"Beobachtung eines unbekannten Fahrzeugs (tschechisches Kennzeichen) mit Personenbewegung dass vor einem geoeffneten Hallentor auf dem Gelaende der Deponie Westfeld (umzaeuntes Gelaende, jedoch mit geoeffnetem Zufahrtstor) stand. (Bericht siehe Anhang). Das Pfoertnerhaeuschen war aufgrund einer Arbeitsunterbrechung der ausfuehrenden Firma (Fa. Kassecker) derzeit nicht besetzt. Dass die Fahrer des mutmasslichen Kastenwagen etwas entwendet haben kam erst im Nachgang heraus, als die Polizei bei einer Kontrolle eines Kastenwagens (mit tschechischem Kennzeichen) sich bei der Fa. Kassecker meldete da ein Transportgestell fuer Absperrbaken entwendet wurde. Ob weitere Sachen entwendet wurden wird derzeit noch geprueft.",Process Safety,Diebstahl Wackersdorf,Non-Process Safety
"Omstreeks : 10:10 uur deze ochtend is de blussing BEDOELD geactiveerd van de kleine relaisruimte (DCS ruimte onder de wacht). Echter onbedoeld dat de blusflessen leeg zouden lopen. Hoewel ik al diverse informatie heb ontvangen m.b.t. de RCA zal ik daarop niet vooruitlopen.

Door de gevolgde werkwijze zijn er GEEN persoonlijke letsels ontstaan!!
Er is geen materialen schade ontstaan.
Er is alleen financiele schade ontstaan.


1.	De blussing is bedoeld geactiveerd als het gevolg van het geplande jaarlijkse onderhoud van zowel het elektronische als mechanische gedeelte.
2.	Door Emil Mik zullen er vandaag handblussers geplaatst worden voor de ruimte zodat de periode van geen blusflessen er handmatig opgetreden kan worden. 
3.	De werkzaamheden zijn uitgevoerd door Compass & Siemens (Johnson control als onderaannemer) en worden vanuit FAC aangestuurd waarbij Compass gecontracteerd is als houder
4.	PO order, SAP PM 30004587056
5.	CP SL : Romano Lugtenburg",Process Safety,Leeg lopen blusgasflessen relaisruimte (DCS ruimte onder de wacht),Non-Process Safety
"S&T AllHands Meeting Abend Programm in Nordpark Cafe Duesseldorf. Auf dem Parkplatz vor Aquazoo wurden aus dem abgeschlossenen Wagen (Kofferraum) 2 Laptops gestohlen. 

1. Laptop - Johann Dobre
2. Laptop - Roland Jung",Process Safety,Laptops aus dem Autokofferraum gestohlen,Non-Process Safety
"Laptop, Rucksack, Jacket, Brille und Jacke etc. aus verschlossenem KfZ gestohlen.
Parallel zu unserem Onsite Event gestern. Johann hat mich vom Float-Gebaeude mitgenommen zum Nord Park Kaffee. Johanns Wagen wurde auf dem Aquazoo-Parkplatz ca. 16h abgestellt. Unsere Taschen inkl. o.a. Sachen wurden aus dem Kofferraum zwischen 16h-ca. 20h gestohlen.  Anschliessend haben wir Strafanzeige bei der Polizei gestellt. (analog: s. Johann Dobre)",Process Safety,"Laptop, Rucksack, Jacket, Brille und Jacke  etc. aus verschlossenem KfZ gestohlen",Non-Process Safety
Hefdeur begane vloer turbine hal MPP3 stukgeslagen door harde wind. Plus verlichting armaturen en brand haspel omkasting beschadigd. Scherpe delen aluminium van de deur waaien over het terrein. Gevaarlijk. Daarbij zitten andere nooddeuren van de turbinehal muurvast in hun sponning. Geen vluchtroute mogelijk.,Process Safety,Hefdeur begane vloer turbine hal MPP3 stukgeslagen door harde wind. Plus verlichting armaturen en brand haspel omkasting beschadigd,Non-Process Safety
Bitumen dak van het MONA gebouw - naast UCML ketels - voor een groot deel eraf gewaaid. Stukken bitumen liggen over een groot deel van het terrein verspreid vanaf MONA tot Europahaven.,Process Safety,Bitumen dak van het MONA gebouw - naast UCML ketels - voor een groot deel eraf gewaaid. Stukken bitumen liggen over een groot deel van het terrein verspreid vanaf MONA tot Europahaven.,Non-Process Safety
Bulkwagen veroorzaakt door te ver naar achter te rijden schade aan MBM losinstallatie.,Process Safety,Bulkwagen veroorzaakt schade aan losinstallatie MBM,Non-Process Safety
"As part of Outage welfare arrangements, car parking is on the adjacent EDF site. Cars pass though EDF site access gates to leave the site, the gates are opened and manned by Uniper security. During the evening end of shift a contractor was driving through the vehicle gates when a gust of wind blew the gate shut striking the car passing through.",Process Safety,EDF site gate blew closed impacting a contractors car,Non-Process Safety
"Rettungsringkasten wurde ca. 3 Wochen nach Montage beschaedigt, Rettungsstange wurde entwendet. OW KW Merching",Process Safety,Beschaedigter Rettungsringkasten und fehlende Rettungsstange,Non-Process Safety
Dell device Stolen (on behalf of PLE),Process Safety,Description,Non-Process Safety
"Im Urlaub nach der Zwischenlandung in Toronto mit Air Canada Flug AC 136 am 20. August habe ich einen Rucksack im Handgepaeck in der Ablage ueber dem Sitz vergessen/liegen gelassen. Diesen Verlust habe ich noch am gleichen Tag bei Air Canada gemeldet (Lost Report ID: 23954730) sowie beim Flughafen (Found-Lost Item Report Number 75857), aber bisher nur mehrfach den Zwischenstand erfahren, dass der verlorene Rucksack (noch) nicht gefunden wurde.",Process Safety,INC1022966 Verlustmeldung Laptop P3937,Non-Process Safety
Laptop gestohlen,Process Safety,Description,Non-Process Safety
Unit 4 FGD absorber has liquor leaking from the 'B' Recycle pump drain tell tail (suspect diaphragm split) and this liquor is flooding the adjacent road 26 and into the surface water drains. Road is barriered off to stop traffic and pedestrians.,Process Safety,PSO - U4 FGD Absorber liquor spill,Non-Process Safety
Power plant tripped from full load due to operation of IP Bypass Injection Water flow protection.,Process Safety,Plant trip - protection system operated.,Non-Process Safety
De onderplaat van zijwand is door een onbekende oorzaak beschadigd en ligt boven op een elektrische voedingskabel,Process Safety,Onderbeplating van zijwand fabriekshal beschadigd ter hoogte van gasflessenopslag,Non-Process Safety
Tijdens manoeuvre met vrachtwagen welke achteruit de los hal in reed heeft deze de schade veroorzaakt.,Process Safety,Schade aan muur en brandslang/haspel.,Non-Process Safety
"Kabel mosselfilter klem gezet door stellingmateriaal. De buitenmantel van de kabel is beschadig. Mosselfilter zelf werkt wel, maar er blijft een storing voorstaan. SAP melding voor FE gemaakt om het eea te onderzoeken. Stelling direct laten aanpassen.",Process Safety,Kabel mosselfilter1 HKWP1 UCML klem gezet door stellingmateriaal,Non-Process Safety
"During a planned task in the GT Hall, the crane was being moved to carry out a function check on the line of sight gas detectors. As per the procedure,  the crane pendant on the gantry was moved to avoid the steel structures that were a modification to the area, after the crane was installed.  As the crane moved forward, the pendant passed the first steel structure, the crane was then put into the second speed function to complete the journey. As the crane was put into the second speed it caused the pendant by gantry swing slightly and strike the second steel structure.

As the pendant struck the steel structure it detatched itself from the pendant drive mechanism, causing the pendant box to have a controlled 3m fall to the gantry floor.",Process Safety,Crane pendant struck steel structure,Non-Process Safety
"Roll-Call

Currently our electronic Muster is not working, as process dictates when this goes down we start a manual roll-call and so this is what we have been doing now since Thursday night, however with tomorrow being the first working day for a lot of new contractors coming to site and for visitors and deliveries it could be a very busy day, especially in the morning.

This issue with the electronic Muster arose a couple of weeks ago when Secure One came to do updates, my worry now is that this could end up being a lengthy process and everyday this takes to get fixed takes a significant hit on other duties but also it can take a lot out of the team. I don’t believe there is an ETA on when this issue will be resolved too.

Since the updates took place we have noticed that everyday without fail our access computer loses connection at approx. 11:15am and when creating new cards for permanent staff/contractors the UNIPER template for the front of the cards is not correct. (This has been reported to Kevin Braine).",Process Safety,Access Control System failing,Non-Process Safety
"Virtuele wacht was niet beschikbaar hierop dienstdoende site leader Axel 
Herreburgh gebeld wat te doen.
Ook duidelijk geworden dat de telefoon verbinding ruk was dat ze mij 
niet eens hoorden in Leiden.
Oplossing zou zijn om het half uur bellen, dat heb ik niet geaccepteerd 
dus gekozen voor beveiliger ter plaatse hier, dat bleek later ook niet 
mogelijk dus afgesproken interval van 15 minuten security laten bellen 
en om het uur beveiliging, ook dit niet mogelijk krijg na 1 uur 
beveiliging en dan om de 2 uur.
Sinds deze week is ook wi-fi netwerk mallepietje spoorloos verdwenen, in eerste instantie de gedachte dat dat de storing was, maar de pc lijkt via kabel verbonden te zijn dus wellicht dat deze tijdelijk geen internet verbinding had, want 0:49 werkte ineens alles weer, het kan dus ook een storing in leiden geweest zijn.
Hierop security verder afgezegd.",Process Safety,"2023-03-16 Fysiek beveiligingsincident - Nederland - Gas Turbine Fleet - Stadscentrales -  Fysiek Beveiligings incident, procesveiligheid",Non-Process Safety
"Bei der Anfahrt zur Arbeitsstelle von 34587 Felsberg nach 34549 Edertal hat ein  Auszubildender, 1. Ausbildungsjahr einen Auffahrunfall, an einer Kreuzung, auf ein anderes Fahrzeug gehabt. 
der Auszubildende hat dabei keinen koerperlichen Schaden genommen.",Process Safety,Autounfall auf dem Weg zur Arbeit,Non-Process Safety
"UTG were carrying out some inspections within the HRSG Dead space - Module 2 bottom dead space. The IP was using he's I Phone to carry out some scanning on a header, the IP had removed he's gloves to use the scanning device.   When he lowered he's right arm he caught he's hand on a vertical baffle plate which had a sharp edge left from a tack weld.",Process Safety,"Cut to hand, caught on sharp edge from plate within dead space",Non-Process Safety
HVT - G11 skorsten: Asfaltsskada vid kranlyft,Process Safety,HVT - G11 skorsten: Asfaltsskada vid kranlyft,Non-Process Safety
Unit tripped at 300MW from Emergency Pushbutton HS4002A activation at PRS,Process Safety,"2023-10-21 Physical Security incident - UK - Gas Turbine Fleet - CDCPK - CDC -  Physical Security Incident, Process safety",Non-Process Safety
"Tijdens de harde wind van 8 januari 2019 op de Maasvlakte is veel kolenstof verwaait vanaf de velden A1, A2, B1, B2, C1 en C2. Hierdoor sterke vervuiling van omliggende installatie delen (UCML), wegen, auto's en gebouwen.",Process Safety,Extreme vervuiling door kolenstof verwaaiing op de Maasvlakte,Non-Process Safety
"Mod 2 received an instruction to run under its current STOR contract. GT 21 failed to start, problem tracked to gas ESV 2 failure to open. MEL reduced to reflect GT unavailability.",Process Safety,Loss of availability Module 2 GT 21,Non-Process Safety
During BOFA checks discrepancies with CO instrumentation suspected. Further checks made which confirmed U3 A and B instruments displayed the opposite way round.,Process Safety,Operational Loss,Non-Process Safety
Bij de lossing van een vrachtwagen is de losslang van de vrachtwagen af geschoten. Hierdoor is krijt op de straat gekomen.,Process Safety,Krijt spil,Non-Process Safety
U3. On unit shutdown B1 BLR stop BP valve actuator shear pin broke - actuator still operated and reached closed limit but valve was still open - this was picked up by the AUO during the off load checks. B1 leg suffered chilling effect which required extra firing time and drainage on RTS. An extra 10-15 mins was added to the normal start up time but this was insufficient to balance the temperatures prior to sync. A further 15 mins was required causing a 20 min delay in unit sync.,Process Safety,Operational Loss,Non-Process Safety
"U4 return to service, G and H mill groups were not able to be used due to a fault standing on the tempering air damper Process Variable PV) and set points showing bad value/magenta, also F group B side sec air damper would not open. Unit re-declared to 410 MW (5 mill availability).",Process Safety,Operational Loss,Non-Process Safety
"U4 B FD Fan flow indication reading faulty, FD fan controls tripping to manual due to split between A & B sides. FGD tripped prior to operator taking corrective action. FGD back in service and repairs to FD fan flow indication in progress",Process Safety,Operational Loss,Non-Process Safety
Am 10./11.01.19 wurde das Gehaeuse der KUP durch die Firma MuM mittels Phased Array geprueft. Dabei wurden umlaufende Risse - analog Block 3 - festgestellt.,Process Safety,Risse im Gehaeuse der Kesselumwaelzpumpe Block 4,Non-Process Safety
er is olie naar beneden gedruppeld vanaf de 28 meter vloer naar de 0 meter vloer. de olie kwam uit een tandwielkast van rookgasluvo 1. de olie is deels op een luchtkanaal gevallen wat tijdens bedrijf warm wordt.,Process Safety,olie lekkage,Non-Process Safety
"SAP notification 21300702 raised 23/03/2019. Associated work order 1180821915. Steam leak from impulse line feeding CNC-03-FSR-051A-LT under walkway level is quite severe, on bend of impulse line. Material failure, impulse line has no joints or welds. Photo's attached.",Process Safety,Level transmitter impulse line steam leak.,Non-Process Safety
Die unterbrechungsfreie Stromversorgung am Standort Falkenhagen ist ausgefallen - es kam zu einem erneutem Funktionsdversagen einiger elektrischer/elektronischer Bauteil und dadurch bedingt zu einem Ausfall der Leittechnik am Standort Falkenhagen. Die USV in diesem Jahr bereits ersetzt. Bei diesem Vorfall handelt es sich also um den zweiten Vorfall in Folge.,Process Safety,USV- defekt,Non-Process Safety
"U4,  A Mill Coal Feeder tripped just after scynhroise. The feeder was later part dug out and bunker support steel work found around the feeder drive end.
This caused a loss in boiler pressure and a cold mill was rapidly put into service along with some more oil burners. Which started the metal temperatures to rise.",Process Safety,Operational Loss - none Process Safety,Non-Process Safety
"U4 was called for Hot Standby, had NGC have taken Ratcliffe we would not have been able to synch to plan due to the loss of boiler firing and repeated boiler purges",Process Safety,Operational Loss,Non-Process Safety
Er is ingebroken in mijn woning. Unper laptop en telefoon zijn meegenomen. Er was niemand thuis.,Process Safety,laptop en telefoon gestolen. INC0155842,Non-Process Safety
Door een gescheurde slang van de zeefmachine van de firma Sagro is een olie lekkage ontstaan en dit heeft tot vervuiling van een paar ton bodemas geleid.,Process Safety,Oliespill op het bodemasveld,Non-Process Safety
